말:NNG,1990
일:NNG,265
앞:NNG,255
들:VV,244
전:NNG,189
보이:VV,188
받:VV,186
필요:NNG,158
시작:NNG,152
이름:NNG,144
쉽:VA,144
처음:NNG,138
눈빛:NNG,130
거울:NNG,123
삶:NNG,121
걱정:NNG,116
뛰:VV,114
돌:VV,89
힘:NNG,86
이해:NNG,85
갖:VV,67
크:VA,63
불안:NNG,62
인생:NNG,59
바라:VV,59
다음:NNG,54
전부:NNG,51
짧:VA,49
감정:NNG,48
떨리:VV,47
사진:NNG,42
원하:VV,42
미래:NNG,41
느끼:VV,41
모두:NNG,41
시계:NNG,41
높:VA,39
서:VV,39
대신:NNG,39
결국:NNG,39
상상:NNG,38
변하:VV,37
맴돌:VV,37
몸매:NNG,36
가지:VV,35
번호:NNG,34
망설이:VV,34
답:NNG,33
지내:VV,33
노력:NNG,30
욕심:NNG,30
화:NNG,30
스타일:NNG,30
고통:NNG,30
존재:NNG,29
기회:NNG,29
분위기:NNG,28
달리:VV,27
최고:NNG,26
특별:NNG,26
넘:VV,25
부드럽:VA,25
표현:NNG,25
진실:NNG,24
피:NNG,24
틈:NNG,24
포기:NNG,24
땀:NNG,23
선택:NNG,23
약:NNG,23
입가:NNG,22
떨:VV,21
무대:NNG,21
원망:NNG,20
짜증:NNG,20
쥐:VV,19
다르:VA,19
영혼:NNG,19
새롭:VA,18
키:NNG,17
색깔:NNG,17
뺏:VV,17
문제:NNG,17
벨:NNP,17
설명:NNG,17
거짓:NNG,17
게임:NNG,17
열리:VV,16
풀:VV,16
마법:NNG,16
묶:VV,16
평소:NNG,15
중독:NNG,15
본능:NNG,15
여행:NNG,15
다치:VV,15
성공:NNG,15
바뀌:VV,15
도망가:VV,14
가짜:NNG,14
팔:VV,14
천국:NNG,13
눈앞:NNG,13
감각:NNG,13
얻:VV,13
바늘:NNG,12
눈감:VV,12
늘:VV,12
회사:NNG,12
피하:VV,12
엉덩이:NNG,12
어리:VA,12
도시:NNG,12
곰:NNG,12
어렵:VA,11
불행:NNG,11
늑대:NNG,11
따라가:VV,11
유리:NNG,11
다니:VV,10
나타나:VV,10
망가지:VV,10
중요:NNG,10
지구:NNG,10
동정:NNG,10
죽이:VV,10
집:VV,10
의심:NNG,10
확신:NNG,10
겁내:VV,9
무한:NNG,9
예술:NNG,9
자격:NNG,9
던지:VV,9
모양:NNG,9
애교:NNG,9
멋지:VA,9
때리:VV,9
혼:NNG,9
맑:VA,9
도로:NNG,9
기쁘:VA,9
흔하:VA,8
세:VA,8
손목:NNG,8
불길:NNG,8
하품:NNG,8
흘러내리:VV,8
환상:NNG,8
대접:NNG,8
멋지:VV,8
중심:NNG,8
명예:NNG,8
수:NNG,8
짓:NNG,8
퍼지:VV,7
직감:NNG,7
변화:NNG,7
도망치:VV,7
절망:NNG,7
머뭇거리:VV,7
비치:VV,7
뽑:VV,7
틈새:NNG,7
동경:NNG,6
팀:NNG,5
뼈:NNG,5
멘탈:NNG,5
공짜:NNG,5
계산:NNG,5
보석:NNG,5
고르:VV,5
책상:NNG,5
꼬리:NNG,5
사연:NNG,5
감동:NNG,5
싫증:NNG,5
하얀색:NNG,4
반칙:NNG,4
백합:NNG,4
경쟁:NNG,4
분노:NNG,4
소개:NNG,4
위선:NNG,3
비행기:NNG,3
질주:NNG,3
줄이:VV,3
화제:NNG,3
시험:NNG,3
전국:NNG,3
다가서:VV,3
운:NNG,3
흥분:NNG,3
정상:NNG,3
짖:VV,3
승리:NNG,2
챔피언:NNG,2
개:VV,2
날카롭:VA,2
결과:NNG,2
메시지:NNG,2
풍경:NNG,2
무기:NNG,2
이미지:NNG,2
일어서:VV,2
시끄럽:VA,2
이어지:VV,1
좌표:NNG,1
단념:NNG,1
도중:NNG,1
마술:NNG,1
공감:NNG,1
영광:NNG,1
프로필:NNG,1
직장:NNG,1
두려워하:VV,1
쌓:VV,1
졸업:NNG,1
영웅:NNG,1
펼쳐지:VV,1
체념:NNG,1
